rounded_latitude,rounded_longitude,avg_nic
34.997024,33.390543,7.912774
34.999311,44.111190,1.835802
34.990544,44.204585,4.066642
35.003333,44.391490,2.446721
34.991315,44.905912,0
35.092796,-22.706483,8.143348
35.101029,-22.612032,8.023047
35.092121,-22.493959,7.963062
35.108662,-22.394016,7.915831
35.104858,-19.910614,5.878846
35.100343,-19.789713,0.025875
35.100386,-13.689178,8.077211
35.109095,-13.602747,2.004716
35.092415,-12.201881,3.82717
35.103825,-10.691782,0.227726
35.093705,-10.606135,0
35.103547,-8.709721,0.078476
35.107260,-8.604985,4.741358
35.100700,-7.212077,5.529287
35.108900,-7.095565,6.627307
35.101600,-6.710655,8.195925
35.107799,-6.397978,6.203366
35.098396,-6.288145,8.150403
35.107288,-5.808063,8.137985
35.102789,-1.409436,5.9121
35.100616,-1.312017,5.422983
35.102048,-1.189114,2.59825
35.091953,6.698834,7.801073
35.102680,11.589354,2.564801
35.107559,12.292660,9
35.092023,19.698595,0
35.097328,19.791047,0.180246
35.092384,19.895341,0
35.094198,20.009089,0.04304
35.094780,20.092727,0
35.095442,20.207602,0
35.109766,20.296372,0
35.108481,20.404374,0
35.105186,20.506877,8.064941
35.093541,20.606504,6.550712
35.097114,20.709701,7.976291
35.103156,20.790803,7.15814
35.102965,20.890455,7.22158
35.095635,21.008945,6.231554
35.102572,27.190232,0.103393
35.097073,27.309219,6.184943
35.090936,27.394415,0.665153
35.093163,29.293785,0
35.107415,29.404789,3.996365
35.091006,29.498340,3.287829
35.107805,29.607679,4.713497
35.106608,29.690444,5.54424
35.092471,29.802561,4.628373
35.095228,30.909142,8.23705
35.094671,31.610186,8.355695
35.098707,31.687784,7.61409
35.099074,32.687525,5.42044
35.109190,32.801540,3.864302
35.107387,32.896428,8.041107
35.089933,32.999621,6.907214
35.110126,44.099905,2.54554
35.093877,44.393281,5.764693
35.205003,-22.309772,7.881751
35.207443,-22.197092,7.89019
35.191327,-22.102519,7.951842
35.190142,-19.803001,8.23666
35.200675,-19.709471,2.58083
35.205119,-19.591581,0.15265
35.193277,-13.591467,8.087346
35.191077,-13.500350,2.459668
35.191956,-12.105230,0
35.206869,-10.594395,0.123598
35.196025,-10.491941,0
35.191231,-8.597842,4.758498
35.204053,-8.488538,2.684195
35.208524,-7.096077,6.417495
35.206658,-7.008280,8.013395
35.193659,-6.708376,7.893842
35.191128,-6.598104,7.594059
35.199275,-6.309769,7.20631
35.191402,-6.203898,7.856667
35.192271,-5.704976,8.157786
35.192420,-1.202971,7.945704
35.191618,-1.094141,6.132812
35.207692,-0.995403,8.172413
35.196283,6.711506,8.184079
35.191041,11.595729,5.293936
35.193789,12.389925,8.884001
35.196401,12.511646,9
35.197303,19.209153,0
35.196623,19.311703,0.244434
35.207967,19.399933,0
35.208141,19.500228,0
35.198388,19.587935,0
35.192680,19.703731,0.168061
35.207688,20.199075,8.056967
35.204938,20.309808,7.453219
35.204166,20.409417,7.902698
35.196798,20.491299,3.541513
35.207622,26.394911,2.60945
35.197237,27.108931,1.16676
35.204583,27.210176,0.018101
35.201942,27.311027,1.692408
35.191833,27.395453,0
35.203702,29.311441,5.982188
35.190319,29.400623,5.222587
35.205393,29.489991,5.478867
35.203686,29.588325,2.766198
35.208763,30.903457,7.08307
35.197928,31.511789,7.784839
35.209315,31.603066,6.828558
35.206070,31.791234,7.919202
35.207826,32.306340,3.255509
35.200610,32.389569,5.500667
35.200724,32.510521,3.86073
35.207393,32.595101,3.564453
35.206443,44.006541,3.050647
35.205846,44.107829,8.211219
35.207791,44.297701,8.106725
35.199540,44.410566,6.918726
35.292465,-22.107622,7.939697
35.291204,-22.004956,8.216566
35.296224,-21.889936,8.004924
35.308894,-19.604376,0.063552
35.296968,-19.510683,2.248177
35.293337,-13.494057,0.048335
35.306072,-11.991337,0.183725
35.295856,-10.510968,1.350752
35.291655,-9.897957,0
35.292285,-9.798127,6.698566
35.309883,-8.498244,4.983133
35.291578,-8.403244,7.770065
35.299977,-7.010422,8.243175
35.307803,-6.907018,1.574656
35.309339,-6.602097,8.191816
35.304751,-6.509428,4.119091
35.307390,-6.192189,6.585641
35.306587,-6.092035,8.182848
35.302585,-5.690951,7.995076
35.291115,-5.593801,8.23824
35.309870,-5.399553,8.101824
35.300950,-1.010537,6.843837
35.295014,-0.889994,5.142427
35.303656,-0.808690,6.457856
35.296716,6.710390,8.041885
35.292242,11.604390,8.22494
35.301286,11.689031,3.881788
35.295342,12.508408,9
35.293718,25.091140,8.212423
35.308055,26.292340,3.519846
35.305798,26.392291,3.889724
35.307600,26.902687,0
35.308413,27.003234,1.451139
35.292116,27.202289,0
35.290736,27.304268,1.11804
35.301087,28.009309,4.222501
35.305077,29.189067,6.815345
35.306449,29.292671,7.908479
35.298763,29.611311,7.905583
35.293312,29.706056,5.824629
35.300612,29.789139,6.823454
35.308100,30.894081,8.096883
35.291003,31.502177,6.910151
35.308046,31.692075,6.211275
35.306259,31.792053,7.503385
35.294458,31.891347,7.901243
35.303547,32.008702,7.194843
35.292791,32.093656,5.44166
35.291878,32.197442,0
35.290262,32.299421,5.25484
35.307625,44.007886,3.972699
35.295538,44.307892,3.247649
35.402916,-21.789413,7.908122
35.406025,-21.706002,7.800595
35.399864,-21.588429,7.993133
35.394853,-19.407465,8.124887
35.402096,-13.388054,0.01595
35.392252,-12.008116,0
35.407736,-11.908099,1.796071
35.409062,-10.495313,0
35.406587,-10.408032,0
35.405343,-9.792530,4.638224
35.394445,-9.692031,0.030681
35.406187,-8.509459,4.770961
35.400273,-8.409786,6.898864
35.402285,-6.911756,7.77724
35.407358,-6.794150,7.281298
35.403441,-6.509239,6.036989
35.406010,-6.108038,7.201934
35.403818,-5.990057,8.001772
35.408160,-5.600599,8.046604
35.392595,-5.508524,7.930357
35.392684,-5.407420,7.861833
35.408580,-5.300717,8.106133
35.409076,-0.802109,5.967215
35.408020,-0.696812,4.068483
35.390968,6.697658,7.850859
35.395524,11.690459,4.005688
35.408016,25.101432,7.322444
35.408899,26.194080,8.327096
35.393209,26.308033,4.888991
