,h3,icao_address_x,icao_address_y,percent,fill_color,line_fill_color
128,8402b05ffffffff,121,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
129,8402b07ffffffff,80,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
130,8402b29ffffffff,1,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
131,8402c17ffffffff,12,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
132,8402c93ffffffff,47,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
133,8402c9bffffffff,225,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
134,8402cbbffffffff,1,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
135,8402cc1ffffffff,1,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
136,8402d97ffffffff,11,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
137,8402e03ffffffff,105,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
138,8402e0bffffffff,98,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
139,8402e1bffffffff,22,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
140,8402e39ffffffff,236,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
141,8402e3dffffffff,14,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
142,8402e95ffffffff,10,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
143,8402eb9ffffffff,6,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
144,8402ee9ffffffff,144,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
145,84031c1ffffffff,362,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
146,84031c3ffffffff,6,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
147,84031c5ffffffff,353,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
148,84031e9ffffffff,47,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
149,8403405ffffffff,4,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
150,8403415ffffffff,6,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
151,8403423ffffffff,66,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
152,840342bffffffff,31,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
153,840342dffffffff,7,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
154,8403431ffffffff,90,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
155,840343bffffffff,101,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
156,8403465ffffffff,46,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
157,84034b7ffffffff,38,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
158,8403529ffffffff,10,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
159,840352dffffffff,238,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
160,840353bffffffff,3,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
161,8403541ffffffff,7,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
162,8403545ffffffff,162,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
163,8403549ffffffff,8,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
164,840354dffffffff,90,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
165,8403551ffffffff,79,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
166,8403559ffffffff,150,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
167,840355bffffffff,12,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
168,84035a5ffffffff,2,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
169,84035c9ffffffff,19,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
170,84035e1ffffffff,38,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
171,84035e5ffffffff,138,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
172,84035e7ffffffff,18,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
173,8403611ffffffff,4,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
174,8403613ffffffff,28,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
175,840361bffffffff,10,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
176,8403625ffffffff,4,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
177,840363bffffffff,74,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
178,8403669ffffffff,3,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
179,840368bffffffff,8,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
180,84036a1ffffffff,71,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
181,84036a5ffffffff,15,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
182,84036a7ffffffff,51,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
183,84036abffffffff,3,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
184,84036d7ffffffff,20,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
185,8403703ffffffff,144,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
186,8403719ffffffff,66,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
187,840371dffffffff,322,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
188,8403823ffffffff,181,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
189,8403827ffffffff,98,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
190,840383dffffffff,5,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
191,8403859ffffffff,208,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
192,840385bffffffff,59,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
193,840388bffffffff,42,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
194,84038c9ffffffff,276,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
195,84038cbffffffff,153,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
196,84038d7ffffffff,102,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
197,8403989ffffffff,9,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
198,8403a37ffffffff,23,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
199,8403aa3ffffffff,168,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
200,8403aa5ffffffff,7,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
201,8403aa7ffffffff,14,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
202,8403aadffffffff,141,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
203,8403ab5ffffffff,238,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
204,8403ab7ffffffff,87,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
205,8404141ffffffff,10,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
206,8404143ffffffff,162,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
207,8404147ffffffff,5,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
208,840415dffffffff,120,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
209,8404281ffffffff,150,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
210,840428bffffffff,184,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
211,84042d7ffffffff,3,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
212,8404e23ffffffff,147,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
213,8404e25ffffffff,25,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
214,8404e31ffffffff,18,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
215,8404e35ffffffff,221,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
216,8404e37ffffffff,7,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
217,8404e39ffffffff,51,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
218,8405805ffffffff,51,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
219,8405867ffffffff,2,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
220,84058a3ffffffff,5,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
221,84059e7ffffffff,10,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
222,8406003ffffffff,128,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
223,8406011ffffffff,48,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
224,8406013ffffffff,257,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
225,8406017ffffffff,40,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
226,840601bffffffff,107,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
227,8406039ffffffff,23,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
228,8406041ffffffff,93,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
229,8406043ffffffff,53,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
230,840604dffffffff,2,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
231,8406051ffffffff,125,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
232,8406057ffffffff,15,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
233,840605bffffffff,11,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
234,8406091ffffffff,7,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
235,8406093ffffffff,24,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
236,8406097ffffffff,129,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
237,840609bffffffff,89,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
238,84060b1ffffffff,148,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
239,84060b7ffffffff,7,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
240,84060bbffffffff,49,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
241,84060e1ffffffff,1,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
242,84060e5ffffffff,58,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
243,84060e7ffffffff,1,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
244,84060e9ffffffff,30,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
245,84060edffffffff,63,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
246,840610dffffffff,48,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
247,8406115ffffffff,44,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
248,8406121ffffffff,45,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
249,8406129ffffffff,58,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
250,840612dffffffff,14,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
251,8406139ffffffff,9,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
